variable,region,Source,Series,year,value,Unit,RID
change in Groundwater,NELSON,GNS,Annual June Year,2009,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2009,33,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2009,3937,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2009,3684,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2010,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2010,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2010,0,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2010,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2010,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2010,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2010,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,0,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,2010,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,2010,0,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,2010,-118,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,2010,-151,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,2010,-17,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,2010,-5,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,2010,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,2010,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,2010,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,2010,-291,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,2010,-291,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,2010,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,2010,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,2010,-4,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,2010,0,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,2010,1,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,2010,1,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,2010,-1,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,-9,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,2010,-86,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,2010,-97,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,2010,-414,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,2010,503,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,2010,135,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,2010,-54,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,2010,70,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,2010,1,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,2010,110,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,2010,350,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,2010,254,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,2010,-69,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,2010,-4,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,2010,-88,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,2010,-246,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,2010,-444,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,2010,-243,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,2010,29,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,-70,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,2010,-71,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,2010,-1206,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,2010,7,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,2010,74,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,2010,94,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,2010,100,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,2010,31,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,2010,2,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,2010,-4,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,2010,304,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,2010,-902,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,2010,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,2010,-2,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,2010,263,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,2010,10,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,2010,0,Mm3,5
Change in Lakes,HAWKES_BAY,NIWA,Annual June Year,2010,-11,Mm3,6
Change in Lakes,TARANAKI,NIWA,Annual June Year,2010,0,Mm3,7
Change in Lakes,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,37,Mm3,8
Change in Lakes,WELLINGTON,NIWA,Annual June Year,2010,-51,Mm3,9
Change in Lakes,NORTH_ISLAND,NIWA,Annual June Year,2010,245,Mm3,10
Change in Lakes,WEST_COAST,NIWA,Annual June Year,2010,18,Mm3,12
Change in Lakes,CANTERBURY,NIWA,Annual June Year,2010,-241,Mm3,13
Change in Lakes,OTAGO,NIWA,Annual June Year,2010,-27,Mm3,14
Change in Lakes,SOUTHLAND,NIWA,Annual June Year,2010,105,Mm3,15
Change in Lakes,TASMAN,NIWA,Annual June Year,2010,3,Mm3,16
Change in Lakes,NELSON,NIWA,Annual June Year,2010,0,Mm3,17
Change in Lakes,MARLBOROUGH,NIWA,Annual June Year,2010,0,Mm3,18
Change in Lakes,SOUTH_ISLAND,NIWA,Annual June Year,2010,-142,Mm3,19
Change in Lakes,NEW_ZEALAND,NIWA,Annual June Year,2010,103,Mm3,20
Evapotranspiration,NORTHLAND,NIWA,Annual June Year,2010,6135,Mm3,1
Evapotranspiration,AUCKLAND,NIWA,Annual June Year,2010,2207,Mm3,2
Evapotranspiration,WAIKATO,NIWA,Annual June Year,2010,13435,Mm3,3
Evapotranspiration,BAY_OF_PLENTY,NIWA,Annual June Year,2010,7875,Mm3,4
Evapotranspiration,GISBORNE,NIWA,Annual June Year,2010,5814,Mm3,5
Evapotranspiration,HAWKES_BAY,NIWA,Annual June Year,2010,7592,Mm3,6
Evapotranspiration,TARANAKI,NIWA,Annual June Year,2010,4415,Mm3,7
Evapotranspiration,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,11491,Mm3,8
Evapotranspiration,WELLINGTON,NIWA,Annual June Year,2010,5248,Mm3,9
Evapotranspiration,NORTH_ISLAND,NIWA,Annual June Year,2010,64211,Mm3,10
Evapotranspiration,WEST_COAST,NIWA,Annual June Year,2010,13946,Mm3,12
Evapotranspiration,CANTERBURY,NIWA,Annual June Year,2010,11512,Mm3,13
Evapotranspiration,OTAGO,NIWA,Annual June Year,2010,10429,Mm3,14
Evapotranspiration,SOUTHLAND,NIWA,Annual June Year,2010,13892,Mm3,15
Evapotranspiration,TASMAN,NIWA,Annual June Year,2010,5035,Mm3,16
Evapotranspiration,NELSON,NIWA,Annual June Year,2010,182,Mm3,17
Evapotranspiration,MARLBOROUGH,NIWA,Annual June Year,2010,3510,Mm3,18
Evapotranspiration,SOUTH_ISLAND,NIWA,Annual June Year,2010,58507,Mm3,19
Evapotranspiration,NEW_ZEALAND,NIWA,Annual June Year,2010,122719,Mm3,20
Inflow from other regions,NORTHLAND,NIWA,Annual June Year,2010,1,Mm3,1
Inflow from other regions,AUCKLAND,NIWA,Annual June Year,2010,7,Mm3,2
Inflow from other regions,WAIKATO,NIWA,Annual June Year,2010,57,Mm3,3
Inflow from other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2010,5530,Mm3,4
Inflow from other regions,GISBORNE,NIWA,Annual June Year,2010,3196,Mm3,5
Inflow from other regions,HAWKES_BAY,NIWA,Annual June Year,2010,1977,Mm3,6
Inflow from other regions,TARANAKI,NIWA,Annual June Year,2010,4,Mm3,7
Inflow from other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,22,Mm3,8
Inflow from other regions,WELLINGTON,NIWA,Annual June Year,2010,52,Mm3,9
Inflow from other regions,WEST_COAST,NIWA,Annual June Year,2010,6445,Mm3,12
Inflow from other regions,CANTERBURY,NIWA,Annual June Year,2010,9499,Mm3,13
Inflow from other regions,OTAGO,NIWA,Annual June Year,2010,16177,Mm3,14
Inflow from other regions,SOUTHLAND,NIWA,Annual June Year,2010,56,Mm3,15
Inflow from other regions,TASMAN,NIWA,Annual June Year,2010,1257,Mm3,16
Inflow from other regions,NELSON,NIWA,Annual June Year,2010,3,Mm3,17
Inflow from other regions,MARLBOROUGH,NIWA,Annual June Year,2010,7833,Mm3,18
Outflow to other regions,NORTHLAND,NIWA,Annual June Year,2010,0,Mm3,1
Outflow to other regions,AUCKLAND,NIWA,Annual June Year,2010,26,Mm3,2
Outflow to other regions,WAIKATO,NIWA,Annual June Year,2010,36,Mm3,3
Outflow to other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2010,2976,Mm3,4
Outflow to other regions,GISBORNE,NIWA,Annual June Year,2010,7482,Mm3,5
Outflow to other regions,HAWKES_BAY,NIWA,Annual June Year,2010,256,Mm3,6
Outflow to other regions,TARANAKI,NIWA,Annual June Year,2010,1,Mm3,7
Outflow to other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,67,Mm3,8
Outflow to other regions,WELLINGTON,NIWA,Annual June Year,2010,0,Mm3,9
Outflow to other regions,WEST_COAST,NIWA,Annual June Year,2010,1201,Mm3,12
Outflow to other regions,CANTERBURY,NIWA,Annual June Year,2010,23938,Mm3,13
Outflow to other regions,OTAGO,NIWA,Annual June Year,2010,112,Mm3,14
Outflow to other regions,SOUTHLAND,NIWA,Annual June Year,2010,113,Mm3,15
Outflow to other regions,TASMAN,NIWA,Annual June Year,2010,6406,Mm3,16
Outflow to other regions,NELSON,NIWA,Annual June Year,2010,56,Mm3,17
Outflow to other regions,MARLBOROUGH,NIWA,Annual June Year,2010,9443,Mm3,18
Outflow to sea and net extract,NORTHLAND,NIWA,Annual June Year,2010,8295,Mm3,1
Outflow to sea and net extract,AUCKLAND,NIWA,Annual June Year,2010,3422,Mm3,2
Outflow to sea and net extract,WAIKATO,NIWA,Annual June Year,2010,21053,Mm3,3
Outflow to sea and net extract,BAY_OF_PLENTY,NIWA,Annual June Year,2010,20304,Mm3,4
Outflow to sea and net extract,GISBORNE,NIWA,Annual June Year,2010,10969,Mm3,5
Outflow to sea and net extract,HAWKES_BAY,NIWA,Annual June Year,2010,19512,Mm3,6
Outflow to sea and net extract,TARANAKI,NIWA,Annual June Year,2010,8194,Mm3,7
Outflow to sea and net extract,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,19663,Mm3,8
Outflow to sea and net extract,WELLINGTON,NIWA,Annual June Year,2010,9349,Mm3,9
Outflow to sea and net extract,NORTH_ISLAND,NIWA,Annual June Year,2010,120759,Mm3,10
Outflow to sea and net extract,WEST_COAST,NIWA,Annual June Year,2010,142085,Mm3,12
Outflow to sea and net extract,CANTERBURY,NIWA,Annual June Year,2010,36899,Mm3,13
Outflow to sea and net extract,OTAGO,NIWA,Annual June Year,2010,43955,Mm3,14
Outflow to sea and net extract,SOUTHLAND,NIWA,Annual June Year,2010,62408,Mm3,15
Outflow to sea and net extract,TASMAN,NIWA,Annual June Year,2010,7850,Mm3,16
Outflow to sea and net extract,NELSON,NIWA,Annual June Year,2010,355,Mm3,17
Outflow to sea and net extract,MARLBOROUGH,NIWA,Annual June Year,2010,9128,Mm3,18
Outflow to sea and net extract,SOUTH_ISLAND,NIWA,Annual June Year,2010,302680,Mm3,19
Outflow to sea and net extract,NEW_ZEALAND,NIWA,Annual June Year,2010,423440,Mm3,20
Precipitation,NORTHLAND,NIWA,Annual June Year,2010,14221,Mm3,1
Precipitation,AUCKLAND,NIWA,Annual June Year,2010,5599,Mm3,2
Precipitation,WAIKATO,NIWA,Annual June Year,2010,35497,Mm3,3
Precipitation,BAY_OF_PLENTY,NIWA,Annual June Year,2010,25422,Mm3,4
Precipitation,GISBORNE,NIWA,Annual June Year,2010,20663,Mm3,5
Precipitation,HAWKES_BAY,NIWA,Annual June Year,2010,25172,Mm3,6
Precipitation,TARANAKI,NIWA,Annual June Year,2010,12885,Mm3,7
Precipitation,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,31037,Mm3,8
Precipitation,WELLINGTON,NIWA,Annual June Year,2010,14410,Mm3,9
Precipitation,NORTH_ISLAND,NIWA,Annual June Year,2010,184906,Mm3,10
Precipitation,WEST_COAST,NIWA,Annual June Year,2010,150284,Mm3,12
Precipitation,CANTERBURY,NIWA,Annual June Year,2010,64062,Mm3,13
Precipitation,OTAGO,NIWA,Annual June Year,2010,39056,Mm3,14
Precipitation,SOUTHLAND,NIWA,Annual June Year,2010,76524,Mm3,15
Precipitation,TASMAN,NIWA,Annual June Year,2010,18755,Mm3,16
Precipitation,NELSON,NIWA,Annual June Year,2010,592,Mm3,17
Precipitation,MARLBOROUGH,NIWA,Annual June Year,2010,14391,Mm3,18
Precipitation,SOUTH_ISLAND,NIWA,Annual June Year,2010,363664,Mm3,19
Precipitation,NEW_ZEALAND,NIWA,Annual June Year,2010,548570,Mm3,20
Total Change in Storage,NORTHLAND,NIWA,Annual June Year,2010,-207,Mm3,1
Total Change in Storage,AUCKLAND,NIWA,Annual June Year,2010,-50,Mm3,2
Total Change in Storage,WAIKATO,NIWA,Annual June Year,2010,1030,Mm3,3
Total Change in Storage,BAY_OF_PLENTY,NIWA,Annual June Year,2010,-202,Mm3,4
Total Change in Storage,GISBORNE,NIWA,Annual June Year,2010,-406,Mm3,5
Total Change in Storage,HAWKES_BAY,NIWA,Annual June Year,2010,-212,Mm3,6
Total Change in Storage,TARANAKI,NIWA,Annual June Year,2010,279,Mm3,7
Total Change in Storage,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,-161,Mm3,8
Total Change in Storage,WELLINGTON,NIWA,Annual June Year,2010,-135,Mm3,9
Total Change in Storage,NORTH_ISLAND,NIWA,Annual June Year,2010,-65,Mm3,10
Total Change in Storage,WEST_COAST,NIWA,Annual June Year,2010,-504,Mm3,12
Total Change in Storage,CANTERBURY,NIWA,Annual June Year,2010,1212,Mm3,13
Total Change in Storage,OTAGO,NIWA,Annual June Year,2010,736,Mm3,14
Total Change in Storage,SOUTHLAND,NIWA,Annual June Year,2010,166,Mm3,15
Total Change in Storage,TASMAN,NIWA,Annual June Year,2010,720,Mm3,16
Total Change in Storage,NELSON,NIWA,Annual June Year,2010,3,Mm3,17
Total Change in Storage,MARLBOROUGH,NIWA,Annual June Year,2010,142,Mm3,18
Total Change in Storage,SOUTH_ISLAND,NIWA,Annual June Year,2010,2476,Mm3,19
Total Change in Storage,NEW_ZEALAND,NIWA,Annual June Year,2010,2411,Mm3,20
Total Inflows,NORTHLAND,NIWA,Annual June Year,2010,14223,Mm3,1
Total Inflows,AUCKLAND,NIWA,Annual June Year,2010,5605,Mm3,2
Total Inflows,WAIKATO,NIWA,Annual June Year,2010,35554,Mm3,3
Total Inflows,BAY_OF_PLENTY,NIWA,Annual June Year,2010,30952,Mm3,4
Total Inflows,GISBORNE,NIWA,Annual June Year,2010,23859,Mm3,5
Total Inflows,HAWKES_BAY,NIWA,Annual June Year,2010,27148,Mm3,6
Total Inflows,TARANAKI,NIWA,Annual June Year,2010,12889,Mm3,7
Total Inflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,31060,Mm3,8
Total Inflows,WELLINGTON,NIWA,Annual June Year,2010,14462,Mm3,9
Total Inflows,WEST_COAST,NIWA,Annual June Year,2010,156729,Mm3,12
Total Inflows,CANTERBURY,NIWA,Annual June Year,2010,73561,Mm3,13
Total Inflows,OTAGO,NIWA,Annual June Year,2010,55233,Mm3,14
Total Inflows,SOUTHLAND,NIWA,Annual June Year,2010,76580,Mm3,15
Total Inflows,TASMAN,NIWA,Annual June Year,2010,20012,Mm3,16
Total Inflows,NELSON,NIWA,Annual June Year,2010,596,Mm3,17
Total Inflows,MARLBOROUGH,NIWA,Annual June Year,2010,22223,Mm3,18
Total Outflows,NORTHLAND,NIWA,Annual June Year,2010,14430,Mm3,1
Total Outflows,AUCKLAND,NIWA,Annual June Year,2010,5655,Mm3,2
Total Outflows,WAIKATO,NIWA,Annual June Year,2010,34524,Mm3,3
Total Outflows,BAY_OF_PLENTY,NIWA,Annual June Year,2010,31154,Mm3,4
Total Outflows,GISBORNE,NIWA,Annual June Year,2010,24265,Mm3,5
Total Outflows,HAWKES_BAY,NIWA,Annual June Year,2010,27360,Mm3,6
Total Outflows,TARANAKI,NIWA,Annual June Year,2010,12610,Mm3,7
Total Outflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2010,31221,Mm3,8
Total Outflows,WELLINGTON,NIWA,Annual June Year,2010,14597,Mm3,9
Total Outflows,WEST_COAST,NIWA,Annual June Year,2010,157233,Mm3,12
Total Outflows,CANTERBURY,NIWA,Annual June Year,2010,72349,Mm3,13
Total Outflows,OTAGO,NIWA,Annual June Year,2010,54496,Mm3,14
Total Outflows,SOUTHLAND,NIWA,Annual June Year,2010,76414,Mm3,15
Total Outflows,TASMAN,NIWA,Annual June Year,2010,19291,Mm3,16
Total Outflows,NELSON,NIWA,Annual June Year,2010,593,Mm3,17
Total Outflows,MARLBOROUGH,NIWA,Annual June Year,2010,22081,Mm3,18
change in Groundwater,NORTHLAND,GNS,Annual June Year,2010,-138,Mm3,1
change in Groundwater,AUCKLAND,GNS,Annual June Year,2010,-43,Mm3,2
change in Groundwater,WAIKATO,GNS,Annual June Year,2010,859,Mm3,3
change in Groundwater,BAY_OF_PLENTY,GNS,Annual June Year,2010,33,Mm3,4
change in Groundwater,GISBORNE,GNS,Annual June Year,2010,36,Mm3,5
change in Groundwater,HAWKES_BAY,GNS,Annual June Year,2010,41,Mm3,6
change in Groundwater,TARANAKI,GNS,Annual June Year,2010,251,Mm3,7
change in Groundwater,MANAWATU_WHANGANUI,GNS,Annual June Year,2010,-119,Mm3,8
change in Groundwater,WELLINGTON,GNS,Annual June Year,2010,73,Mm3,9
change in Groundwater,NORTH_ISLAND,GNS,Annual June Year,2010,993,Mm3,10
change in Groundwater,WEST_COAST,GNS,Annual June Year,2010,4,Mm3,12
change in Groundwater,CANTERBURY,GNS,Annual June Year,2010,1027,Mm3,13
change in Groundwater,OTAGO,GNS,Annual June Year,2010,551,Mm3,14
change in Groundwater,SOUTHLAND,GNS,Annual June Year,2010,20,Mm3,15
change in Groundwater,TASMAN,GNS,Annual June Year,2010,616,Mm3,16
change in Groundwater,NELSON,GNS,Annual June Year,2010,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2010,36,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2010,2254,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2010,3247,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2011,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2011,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2011,-1,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2011,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2011,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2011,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2011,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,2011,-3,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,2011,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,2011,-3,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,2011,-1238,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,2011,-1577,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,2011,-176,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,2011,-53,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,2011,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,2011,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,2011,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,2011,-3044,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,2011,-3047,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,2011,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,2011,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,2011,7,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,2011,7,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,2011,-1,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,2011,23,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,2011,-1,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,2011,4,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,2011,-5,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,2011,34,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,2011,-362,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,2011,-1188,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,2011,-695,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,2011,-231,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,2011,-108,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,2011,-1,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,2011,-162,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,2011,-2746,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,2011,-2712,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,2011,21,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,2011,-27,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,2011,-167,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,2011,6,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,2011,127,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,2011,84,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,2011,-74,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,2011,-111,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,2011,-19,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,2011,-160,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,2011,1,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,2011,-27,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,2011,-47,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,2011,-9,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,2011,-35,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,2011,-2,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,2011,-26,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,2011,-144,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,2011,-305,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,2011,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,2011,9,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,2011,50,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,2011,65,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,2011,0,Mm3,5
Change in Lakes,HAWKES_BAY,NIWA,Annual June Year,2011,12,Mm3,6
Change in Lakes,TARANAKI,NIWA,Annual June Year,2011,0,Mm3,7
Change in Lakes,MANAWATU_WHANGANUI,NIWA,Annual June Year,2011,-8,Mm3,8
Change in Lakes,WELLINGTON,NIWA,Annual June Year,2011,-13,Mm3,9
Change in Lakes,NORTH_ISLAND,NIWA,Annual June Year,2011,116,Mm3,10
Change in Lakes,WEST_COAST,NIWA,Annual June Year,2011,-7,Mm3,12
Change in Lakes,CANTERBURY,NIWA,Annual June Year,2011,-312,Mm3,13
Change in Lakes,OTAGO,NIWA,Annual June Year,2011,-199,Mm3,14
Change in Lakes,SOUTHLAND,NIWA,Annual June Year,2011,-73,Mm3,15
Change in Lakes,TASMAN,NIWA,Annual June Year,2011,0,Mm3,16
Change in Lakes,NELSON,NIWA,Annual June Year,2011,0,Mm3,17
Change in Lakes,MARLBOROUGH,NIWA,Annual June Year,2011,0,Mm3,18
Change in Lakes,SOUTH_ISLAND,NIWA,Annual June Year,2011,-591,Mm3,19
Change in Lakes,NEW_ZEALAND,NIWA,Annual June Year,2011,-475,Mm3,20
Evapotranspiration,NORTHLAND,NIWA,Annual June Year,2011,7606,Mm3,1
Evapotranspiration,AUCKLAND,NIWA,Annual June Year,2011,2686,Mm3,2
Evapotranspiration,WAIKATO,NIWA,Annual June Year,2011,14302,Mm3,3
Evapotranspiration,BAY_OF_PLENTY,NIWA,Annual June Year,2011,8653,Mm3,4
Evapotranspiration,GISBORNE,NIWA,Annual June Year,2011,5808,Mm3,5
Evapotranspiration,HAWKES_BAY,NIWA,Annual June Year,2011,7226,Mm3,6
Evapotranspiration,TARANAKI,NIWA,Annual June Year,2011,4354,Mm3,7
Evapotranspiration,MANAWATU_WHANGANUI,NIWA,Annual June Year,2011,10777,Mm3,8
Evapotranspiration,WELLINGTON,NIWA,Annual June Year,2011,4673,Mm3,9
Evapotranspiration,NORTH_ISLAND,NIWA,Annual June Year,2011,66086,Mm3,10
Evapotranspiration,WEST_COAST,NIWA,Annual June Year,2011,14167,Mm3,12
Evapotranspiration,CANTERBURY,NIWA,Annual June Year,2011,12571,Mm3,13
Evapotranspiration,OTAGO,NIWA,Annual June Year,2011,12420,Mm3,14
Evapotranspiration,SOUTHLAND,NIWA,Annual June Year,2011,13960,Mm3,15
Evapotranspiration,TASMAN,NIWA,Annual June Year,2011,4820,Mm3,16
Evapotranspiration,NELSON,NIWA,Annual June Year,2011,195,Mm3,17
Evapotranspiration,MARLBOROUGH,NIWA,Annual June Year,2011,3788,Mm3,18
